Flow,D1,D2,P1,P2,dD1,dD2,dP1,dP2
-10.91,-522.79,-277.96,-83.52,-38.72,119.99,-3.52,31.68,-0.19
-10.89,-321.36,-272.65,-33.78,-37.1,135.81,-4.46,34.8,-0.3
-10.97,-27.05,-275.23,35.04,-36.69,178.2,-4.13,43.83,-0.06
-11.34,331.45,-272.28,113.26,-35.99,243.43,-0.75,57.13,0.53
-11.89,721.94,-267.73,193.15,-34.59,311.56,0.39,69.45,0.67
-12.09,1068.86,-266.22,259.7,-32.97,351.59,0.31,74.2,0.76
-12.11,1321.63,-234.87,306.31,-27.63,343.44,6.92,68.85,1.84
-12.57,1401.35,-178.53,321.16,-18.08,275.05,20.33,53.07,4.01
-13.2,1402.75,-64.61,321.6,-0.86,171.3,47.86,32.17,8
-13.71,1448.37,-25.42,330.21,5.64,86.34,63.92,16.05,10.2
-13.83,1602.03,4.46,357.96,10.93,63.44,62.2,11.72,9.93
-13.6,1799.83,27.17,391.92,14.58,102.78,47.32,18.37,7.6
-13.51,2121.63,38.96,443.6,16.42,182.94,25.43,31.32,4.27
-13.46,2442.62,55.39,492.88,18.91,256.05,19.23,42.06,3.15
-13.26,2749.27,90.17,537.11,23.52,300.47,19.74,47.16,2.92
-13.17,3082.95,133.74,582.67,29.85,327.77,26.41,49.02,3.77
-13.09,3327.62,187.22,614.39,37.72,315.17,37.71,44.92,5.39
-12.54,3329.12,233.6,614.62,45.13,246.3,45.88,34.07,6.75
-11.37,3210.38,288.88,598.69,53.34,128.79,50.59,17.65,7.63
-10.54,3065.34,342.82,579.49,61.79,-2.93,53.17,0.03,8.14
-10.09,2902.37,373.45,557.59,66.35,-99.03,49.65,-12.58,7.62
-9.14,2781.08,391.44,541.67,68.33,-128.09,41.76,-16.37,6.21
-7.8,2721.64,391.94,534.36,68.23,-114,27.39,-14.31,3.93
-4.51,2581.53,399.21,514.35,69.2,-102.88,15.17,-13.02,1.98
4.63,2236.98,380.47,464.03,66.48,-141.45,4.31,-19.15,0.44
10.71,1683.16,377.21,376.86,65.99,-257.22,-1.82,-37.8,-0.31
14.91,960.67,411.23,250.96,69.57,-432.52,3.89,-68.43,0.29
17.03,319.3,437.8,126.09,71.74,-572.34,13.1,-97.25,1.17
17.94,-48.22,440.38,47.59,71.65,-587.51,20.45,-106.97,1.97
18.2,-197.52,429.96,13.54,70.03,-472.53,15.95,-91.87,1.39
18.2,-248.97,413.96,1.52,67.7,-289.91,2.28,-60.17,-0.17
18.37,-260.01,341.05,-1.72,57.28,-132.54,-19.51,-29.26,-2.91
18.11,-322.43,230.56,-17.47,40.05,-57.78,-48.5,-13.64,-7.24
17,-456.71,112.83,-49.02,21.79,-55.95,-79.63,-13.53,-12.09
16.74,-546.67,57.35,-70.21,12.65,-76.07,-92.27,-18.21,-14.28
17.49,-579.43,16.71,-78.63,6.31,-83.28,-80.54,-19.81,-12.69
17.83,-609.02,-34.08,-86.07,-1.42,-66.67,-61.05,-15.85,-9.62
17.94,-621.63,-80.38,-89.81,-7.88,-36.37,-46.42,-8.93,-7.14
17.46,-699.57,-140.95,-109.35,-16.39,-32.07,-48.13,-8.16,-7.04
17.26,-788.13,-208.52,-132.73,-26.64,-48.24,-54.65,-12.41,-7.93
17.46,-851.61,-266.51,-151.29,-35.65,-62.84,-58.39,-16.66,-8.59
16.66,-897.21,-308.9,-166.29,-41.71,-68.22,-57.54,-18.87,-8.58
15.43,-978.4,-356.65,-189.98,-49.12,-64.79,-52.63,-18.93,-7.97
14.63,-1063.83,-383.8,-213.96,-52.8,-66.14,-43.66,-19.62,-6.52
13.74,-1134.3,-394.45,-234.36,-54.33,-71.72,-32.77,-20.95,-4.8
12.49,-1194.8,-400.23,-252.29,-55.2,-73.83,-21.81,-21.27,-3.18
11.34,-1253.7,-402.13,-268.55,-55.5,-67.06,-10.53,-19.23,-1.48
10.37,-1323.23,-395.11,-287.55,-53.77,-62.9,-2.82,-17.87,-0.27
9.54,-1382.45,-390.12,-304.66,-52.81,-61.74,1.62,-17.36,0.49
8.77,-1439.61,-383.51,-320.69,-52.3,-61.29,4.84,-17.12,0.9
7.86,-1479.21,-372.96,-331.61,-50.76,-56.39,7.36,-15.81,1.16
6,-1529.96,-363.58,-345.83,-48.71,-50.94,8.47,-14.31,1.29
1.71,-1613.74,-380.83,-370.52,-51.91,-55.62,4.36,-15.75,0.62
-3.4,-1741.6,-397.34,-409.38,-55.27,-74.8,-3,-21.87,-0.62
-6.31,-1851.98,-394.48,-443.96,-56.2,-97.52,-7.11,-29.3,-1.66
-9.23,-1903.92,-400.23,-460.69,-58.7,-101.4,-8.12,-31.06,-2.34
-11.37,-1937.14,-387.06,-471.23,-57.02,-84.69,-0.93,-26.28,-1.28
-12.63,-1958.59,-373.95,-478.41,-56.23,-56.6,6.06,-17.78,-0.19
-13.97,-1971.46,-358.67,-482.55,-54.74,-34.84,10.47,-10.93,0.62
-16.57,-2012.14,-335.48,-495.86,-53.7,-31.3,16.52,-9.78,1.31
-26.54,-2115.95,-277.81,-530.23,-45.92,-48.15,26.51,-15.36,2.56
-28.66,-2165.08,-188.9,-546.27,-33.02,-63.69,46.05,-20.37,5.63
-29.6,-2180.83,-97.13,-550.9,-19.78,-66.06,68.15,-20.96,9.2
-29.94,-2167.57,0.29,-545.51,-5.25,-47.32,86.7,-14.43,12.49
-30.83,-2123.38,90.91,-529.05,8.23,-12.1,94.46,-2.24,13.83
-31.43,-2096.27,159.78,-518.41,17.77,8.73,90.63,5.14,13.22
-31,-2061.95,245.34,-506.12,29.45,19.85,86.8,9.02,12.45
-29.43,-2027.73,340.82,-492.89,41.71,22.91,86.13,10.16,11.85
-28.51,-2001.92,440.35,-482.58,54.78,19.99,90.81,9.21,12.06
-27.74,-1985.24,562.31,-476.15,69.56,17.3,103.1,8.23,13.28
-27.4,-1970.32,693.12,-469.74,86.17,12,115.12,6.44,14.56
-26.2,-1959.4,812.06,-465,100.46,6.49,123.33,4.41,15.37
-24.94,-1947.06,923.49,-459.51,114.02,3.19,125.84,3.28,15.47
-24,-1909.5,1032.11,-445.82,127.75,6.93,121.67,4.62,15.01
-23,-1861.35,1135.4,-430.28,139.49,16.24,115.53,7.35,14.03
-21.03,-1806.71,1199.02,-411.46,147.1,28.97,103.99,11.27,12.55
-18.4,-1752.01,1225.84,-392.83,150.34,39.9,82.8,14.57,9.9
-16.34,-1699.22,1249.67,-375.34,153.26,44.49,58.32,15.83,6.9
-14.63,-1635.09,1263.7,-353.92,155.63,48.45,36.51,17.09,4.56
-11.29,-1553.16,1274.49,-327.41,158.41,55.9,24.64,19.15,3.51
-10.43,-1419.99,1283.13,-285.62,160.49,75.62,19.67,24.95,3.26
-13.06,-1243.34,1290.41,-232.11,162.93,108.34,15.82,34.46,3.13
-15.03,-1013.65,1301.21,-166.02,165.93,151.86,14.87,46.35,3.24
-15.8,-706.96,1305.75,-82.75,168.18,207.48,13.91,60.41,3.24
-14.66,-339.03,1320.86,10.95,173.03,268.65,15.03,74.09,3.8
-10.34,-27.62,1337.58,85.28,177.09,310.79,17.46,81.37,4.33
-7.8,272.08,1338.94,152.25,178.38,326.63,16.9,80.99,4.19
-7.54,568.29,1330.84,215.16,178.93,319.03,13.08,74.56,3.51
-8.06,994.39,1343.66,299.24,182.11,330.5,10.21,71.8,2.84
-7.83,1480.58,1326.93,387.5,182.38,379.61,4.71,76.62,2.29
-5.66,1806.41,1310.18,442.35,180.85,405.4,0.25,77.05,1.71
7.11,1725.76,1278.25,427.7,177.68,321.25,-7.47,58.86,0.5
16.11,1603.47,1267.02,405.05,176.41,155.57,-13.81,27.36,-0.73
20.17,1355.44,1245.02,359.18,174.31,-36.02,-14.33,-7.18,-1.17
21.71,1136.42,1247.44,317.31,174.67,-162.06,-9.49,-29.69,-0.68
21.49,856.34,1245.94,263.05,174.41,-212.19,-2,-39.62,0.07
19.91,552.15,1252.5,202.17,174.46,-252.63,3.65,-48.27,0.53
21.23,261.15,1246.94,141.09,172.86,-270.81,7.36,-53.44,0.6
22.54,9.22,1249.88,85.11,172.91,-279.68,7.02,-57.21,0.39
23.31,-174.94,1227.28,42.23,168.7,-256.4,2.37,-54.71,-0.42
24,-284.37,1187.8,15.16,163.44,-207.71,-8.61,-46.35,-1.75
24.03,-362.99,1127.09,-4.65,155.79,-151.72,-23.91,-35.39,-3.5
23.69,-494.81,1074.36,-37.67,149.15,-117.88,-38.87,-28.68,-5.18
23.34,-617.85,1015.49,-69.79,141.72,-108.94,-47.46,-27.38,-5.97
23.57,-614.68,925.48,-71.1,130.95,-92.28,-57.46,-23.8,-7.05
23.77,-421.32,810.78,-26.09,117.68,-25.84,-72.14,-8,-8.61
22.86,-190.94,708.53,25.46,106.02,77.16,-87.86,16.41,-10.22
21.63,-79.95,617.03,48.69,94.38,146.04,-95.89,32.66,-11.19
21.03,-15.11,533.71,61.83,84.01,149.59,-92.54,33.3,-10.98
20.66,-10.94,456.18,60.91,74.38,94.36,-83.54,20.14,-10.17
20.23,-34.8,389.45,54.04,65.51,31.68,-75.38,5.86,-9.45
19.71,-96.21,343.02,38.13,59.2,-12.91,-65.06,-4.18,-8.29
19.31,-221.1,300.64,8.05,53.37,-58.58,-54.14,-14.53,-7.11
18.66,-311.8,236.97,-15.92,43.91,-88.67,-49.3,-21.64,-6.82
18.4,-354.88,194.94,-29.16,37.87,-96.28,-46.4,-23.89,-6.62
17,-382.8,144.27,-39.99,30.08,-82.11,-47.45,-21.32,-6.97
16.23,-476.08,101.21,-66.41,23.82,-70.07,-46.49,-19.39,-6.93
15.37,-567.56,53.12,-91.19,16.31,-75.64,-43.67,-20.96,-6.59
14.46,-637.64,2.61,-110.75,8.9,-87.4,-45.35,-23.67,-6.87
13.66,-661.88,-43.07,-118.7,2.27,-83.36,-45.43,-22.3,-6.8
12.51,-675.59,-90.69,-123.31,-4.66,-58.54,-46.53,-15.93,-6.91
11.63,-706.49,-132.43,-131.76,-10.79,-37.99,-45.44,-10.7,-6.65
10.8,-749.41,-168.09,-143.25,-16.67,-30.76,-42.48,-8.69,-6.34
